requestId,id,refreshType,startTime,endTime,status,refreshAttempts,serviceExceptionJson
9cbca636-ec64-4ff6-9dfe-9e2e5acc3056,17173345,Scheduled,2024-04-03T06:00:08.19Z,2024-04-03T06:00:40.707Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-03T06:00:08.3148007Z', 'endTime': '2024-04-03T06:00:38.7694624Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-03T06:00:38.9881692Z', 'endTime': '2024-04-03T06:00:39.2849977Z', 'type': 'Query'}]",
de2143d8-20a8-4064-b508-b80d08153074,17140420,Scheduled,2024-04-02T06:00:06.16Z,2024-04-02T06:00:34.377Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-02T06:00:06.2834508Z', 'endTime': '2024-04-02T06:00:32.721383Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-02T06:00:32.9713595Z', 'endTime': '2024-04-02T06:00:33.2369361Z', 'type': 'Query'}]",
70fd003f-a0b9-4b7c-9e9a-c47cee637e6d,17106762,Scheduled,2024-04-01T06:00:08.077Z,2024-04-01T06:00:40.03Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-01T06:00:08.1865199Z', 'endTime': '2024-04-01T06:00:35.249288Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-01T06:00:38.4211943Z', 'endTime': '2024-04-01T06:00:38.702446Z', 'type': 'Query'}]",
03f43547-95de-4607-ba46-39eabfd5ea9c,17072787,Scheduled,2024-03-31T06:00:05.77Z,2024-03-31T06:00:34.04Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-31T06:00:05.8791086Z', 'endTime': '2024-03-31T06:00:31.8056373Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-31T06:00:32.0711553Z', 'endTime': '2024-03-31T06:00:32.3680356Z', 'type': 'Query'}]",
b63cbdfd-cdaf-4f10-bf92-a5df8e0784fd,17038958,Scheduled,2024-03-30T06:00:03.617Z,2024-03-30T06:00:35.5Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-30T06:00:03.9300718Z', 'endTime': '2024-03-30T06:00:33.5482232Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-30T06:00:33.8450547Z', 'endTime': '2024-03-30T06:00:34.0325518Z', 'type': 'Query'}]",
3a8f6d91-2e48-48c0-8e1b-2bbf93d50c6e,16996589,Scheduled,2024-03-29T06:00:02.637Z,2024-03-29T06:00:35.46Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-29T06:00:02.996065Z', 'endTime': '2024-03-29T06:00:33.9445867Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-29T06:00:34.1945431Z', 'endTime': '2024-03-29T06:00:34.3664194Z', 'type': 'Query'}]",
5b689861-86c1-5f2e-63f5-e67992864522,16966164,OnDemand,2024-03-28T12:25:38.83Z,2024-03-28T12:26:10.147Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:25:38.8779636Z', 'endTime': '2024-03-28T12:26:08.2388771Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T12:26:08.6764295Z', 'endTime': '2024-03-28T12:26:08.8326365Z', 'type': 'Query'}]",
cfd1d9ef-43a8-4a58-b13d-a84d475639e1,16955663,Scheduled,2024-03-28T06:00:03.037Z,2024-03-28T06:00:37.773Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T06:00:03.4751962Z', 'endTime': '2024-03-28T06:00:35.8992146Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T06:00:36.1648533Z', 'endTime': '2024-03-28T06:00:36.3523478Z', 'type': 'Query'}]",
a8bb9cae-6ece-4060-8202-36f5fbc34b09,16917496,Scheduled,2024-03-27T06:00:02.99Z,2024-03-27T06:00:35.24Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-27T06:00:03.255897Z', 'endTime': '2024-03-27T06:00:33.6935164Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-27T06:00:34.0060323Z', 'endTime': '2024-03-27T06:00:34.1935229Z', 'type': 'Query'}]",
0eabdf98-c16f-41aa-bc43-40c523df4bc0,16881694,Scheduled,2024-03-26T06:00:08.627Z,2024-03-26T06:00:40.16Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-26T06:00:08.7356671Z', 'endTime': '2024-03-26T06:00:38.1588163Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-26T06:00:38.5026031Z', 'endTime': '2024-03-26T06:00:38.6743716Z', 'type': 'Query'}]",
6d2acd89-66d9-49a3-abd5-151e2d354f35,16846300,Scheduled,2024-03-25T06:00:02.38Z,2024-03-25T06:00:38.24Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-25T06:00:03.0974091Z', 'endTime': '2024-03-25T06:00:36.2072232Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-25T06:00:36.4728066Z', 'endTime': '2024-03-25T06:00:36.6446357Z', 'type': 'Query'}]",
eff4809f-433d-4db3-8224-153d2ebbef47,16812358,Scheduled,2024-03-24T06:00:04.01Z,2024-03-24T06:00:37.067Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-24T06:00:04.15039Z', 'endTime': '2024-03-24T06:00:34.768873Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-24T06:00:35.0345223Z', 'endTime': '2024-03-24T06:00:35.3469542Z', 'type': 'Query'}]",
2753076f-981e-4f93-98c3-493b93761924,16777537,Scheduled,2024-03-23T06:00:05.173Z,2024-03-23T06:00:37.97Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-23T06:00:05.4228483Z', 'endTime': '2024-03-23T06:00:35.7202344Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-23T06:00:36.0170464Z', 'endTime': '2024-03-23T06:00:36.3451766Z', 'type': 'Query'}]",
9fee9596-eb30-454e-bf02-833faa7c64b5,16739839,Scheduled,2024-03-22T06:00:03.507Z,2024-03-22T06:00:29.133Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-22T06:00:03.7417446Z', 'endTime': '2024-03-22T06:00:27.3040283Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-22T06:00:27.7259025Z', 'endTime': '2024-03-22T06:00:27.8977749Z', 'type': 'Query'}]",
97fb5e93-c13c-4cc6-b2ad-81f760b08cb9,16699966,Scheduled,2024-03-21T06:00:04.297Z,2024-03-21T06:00:37.217Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-21T06:00:04.5168907Z', 'endTime': '2024-03-21T06:00:34.7005414Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-21T06:00:34.9974091Z', 'endTime': '2024-03-21T06:00:35.1848973Z', 'type': 'Query'}]",
3cc27037-ee7e-4d97-b867-769c3c614aa1,16660032,Scheduled,2024-03-20T06:00:06.007Z,2024-03-20T06:00:33.95Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-20T06:00:06.1463127Z', 'endTime': '2024-03-20T06:00:31.9654346Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-20T06:00:32.1998107Z', 'endTime': '2024-03-20T06:00:32.3716858Z', 'type': 'Query'}]",
a88e7d68-02ab-40df-8bcf-155ee29ba748,16622742,Scheduled,2024-03-19T06:00:04.64Z,2024-03-19T06:00:31.01Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-19T06:00:04.7656339Z', 'endTime': '2024-03-19T06:00:29.1805143Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-19T06:00:29.4930146Z', 'endTime': '2024-03-19T06:00:29.7117671Z', 'type': 'Query'}]",
43ac9dfd-208c-4e0f-b7a0-3163c40f93f4,16587347,Scheduled,2024-03-18T06:00:07.21Z,2024-03-18T06:00:33.71Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-18T06:00:07.2721368Z', 'endTime': '2024-03-18T06:00:32.2092259Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-18T06:00:32.4436062Z', 'endTime': '2024-03-18T06:00:32.615485Z', 'type': 'Query'}]",
1eccb1f0-0411-4135-aeb9-3a1a4976af48,16553004,Scheduled,2024-03-17T06:00:04.803Z,2024-03-17T06:00:33.28Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-17T06:00:04.8511209Z', 'endTime': '2024-03-17T06:00:31.5141932Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-17T06:00:31.7641251Z', 'endTime': '2024-03-17T06:00:32.0766307Z', 'type': 'Query'}]",
4f0522dd-7561-4203-91b0-09a5b46160ac,16517755,Scheduled,2024-03-16T06:00:05.617Z,2024-03-16T06:00:36.863Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-16T06:00:05.6775946Z', 'endTime': '2024-03-16T06:00:35.0664598Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-16T06:00:35.3319733Z', 'endTime': '2024-03-16T06:00:35.6444857Z', 'type': 'Query'}]",
deedeeec-a7c6-d0de-3a6f-8e30419fe2b4,16966172,OnDemand,2024-03-28T12:26:04.54Z,2024-03-28T12:26:42.983Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:26:04.5878438Z', 'endTime': '2024-03-28T12:26:41.9528375Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T12:26:42.2653936Z', 'endTime': '2024-03-28T12:26:42.4372763Z', 'type': 'Query'}]",
ded4032e-65fb-08a6-aa7c-9df907503855,16966449,OnDemand,2024-03-28T12:36:49.13Z,2024-03-28T12:37:07.817Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:36:49.1768832Z', 'endTime': '2024-03-28T12:37:06.9740052Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T12:37:07.1615246Z', 'endTime': '2024-03-28T12:37:07.3177811Z', 'type': 'Query'}]",
2624c797-c07e-f7b9-9096-47524dc10377,17153164,OnDemand,2024-04-02T15:25:45.233Z,2024-04-02T15:26:08.317Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-02T15:25:45.2952578Z', 'endTime': '2024-04-02T15:26:07.033938Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-02T15:26:07.3307948Z', 'endTime': '2024-04-02T15:26:07.877665Z', 'type': 'Query'}]",
f4a0068b-1a0d-d755-57c9-05574ae5df9a,16966212,OnDemand,2024-03-28T12:28:45.36Z,2024-03-28T12:29:05.72Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:28:45.4057661Z', 'endTime': '2024-03-28T12:29:04.7185047Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T12:29:05.046645Z', 'endTime': '2024-03-28T12:29:05.234083Z', 'type': 'Query'}]",
86835af7-c875-a941-1d71-1bf88ee333fd,16966165,OnDemand,2024-03-28T12:25:54.67Z,2024-03-28T12:25:59.14Z,Failed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:25:54.7332496Z', 'endTime': '2024-03-28T12:25:59.1395589Z', 'type': 'Data', 'serviceExceptionJson': '{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""{\\""error\\"":{\\""code\\"":\\""DM_GWPipeline_Client_GatewayUnreachable\\"",\\""pbi.error\\"":{\\""code\\"":\\""DM_GWPipeline_Client_GatewayUnreachable\\"",\\""parameters\\"":{},\\""details\\"":[],\\""exceptionCulprit\\"":1}}} Table: Catalog - Workspace.""}'}]","{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""{\""error\"":{\""code\"":\""DM_GWPipeline_Client_GatewayUnreachable\"",\""pbi.error\"":{\""code\"":\""DM_GWPipeline_Client_GatewayUnreachable\"",\""parameters\"":{},\""details\"":[],\""exceptionCulprit\"":1}}} Table: Catalog - Workspace.""}"
7a34fd22-2e1c-fcde-d8f4-1a596021e6c5,16927944,OnDemand,2024-03-27T13:03:15.157Z,2024-03-27T13:03:19.397Z,Failed,"[{'attemptId': 1, 'startTime': '2024-03-27T13:03:15.2200235Z', 'endTime': '2024-03-27T13:03:19.3977323Z', 'type': 'Data', 'serviceExceptionJson': '{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""{\\""error\\"":{\\""code\\"":\\""DM_GWPipeline_Client_GatewayUnreachable\\"",\\""pbi.error\\"":{\\""code\\"":\\""DM_GWPipeline_Client_GatewayUnreachable\\"",\\""parameters\\"":{},\\""details\\"":[],\\""exceptionCulprit\\"":1}}} Table: Catalog - DataSource.""}'}]","{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""{\""error\"":{\""code\"":\""DM_GWPipeline_Client_GatewayUnreachable\"",\""pbi.error\"":{\""code\"":\""DM_GWPipeline_Client_GatewayUnreachable\"",\""parameters\"":{},\""details\"":[],\""exceptionCulprit\"":1}}} Table: Catalog - DataSource.""}"
ce941771-17cf-29a7-b3e2-d930ca107a90,16343204,OnDemand,2024-03-11T17:23:34.067Z,2024-03-11T17:33:01.28Z,Failed,"[{'attemptId': 1, 'startTime': '2024-03-11T17:23:34.1301326Z', 'endTime': '2024-03-11T17:23:51.7241491Z', 'type': 'Data', 'serviceExceptionJson': '{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""[ValidateMarkupTags][ccon]Expression.Error: The key didn\'t match any rows in the table.. Key = [ccon][entity = \\""Catalog - Permissions\\"", version = \\""\\""][\\/ccon]. Table = [ccon]#table({\\""entity\\"", \\""dataCategory\\"", \\""Data\\"", \\""Tags\\"", \\""entityName\\"", \\""version\\"", \\""ItemKind\\"", \\""ItemName\\"", \\""IsLeaf\\""}, {})[\\/ccon]. [\\/ccon];[ccon]The key didn\'t match any rows in the table.[\\/ccon]. The exception was raised by the IDbCommand interface. Table: Catalog - Permission.""}'}, {'attemptId': 2, 'startTime': '2024-03-11T17:24:51.7437366Z', 'endTime': '2024-03-11T17:25:29.5042449Z', 'type': 'Data', 'serviceExceptionJson': '{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""[ValidateMarkupTags][ccon]Expression.Error: The key didn\'t match any rows in the table.. Key = [ccon][entity = \\""Catalog - Permissions\\"", version = \\""\\""][\\/ccon]. Table = [ccon]#table({\\""entity\\"", \\""dataCategory\\"", \\""Data\\"", \\""Tags\\"", \\""entityName\\"", \\""version\\"", \\""ItemKind\\"", \\""ItemName\\"", \\""IsLeaf\\""}, {})[\\/ccon]. [\\/ccon];[ccon]The key didn\'t match any rows in the table.[\\/ccon]. The exception was raised by the IDbCommand interface. Table: Catalog - Permission.""}'}, {'attemptId': 3, 'startTime': '2024-03-11T17:27:29.5303111Z', 'endTime': '2024-03-11T17:27:43.8430794Z', 'type': 'Data', 'serviceExceptionJson': '{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""[ValidateMarkupTags][ccon]Expression.Error: The key didn\'t match any rows in the table.. Key = [ccon][entity = \\""Catalog - Permissions\\"", version = \\""\\""][\\/ccon]. Table = [ccon]#table({\\""entity\\"", \\""dataCategory\\"", \\""Data\\"", \\""Tags\\"", \\""entityName\\"", \\""version\\"", \\""ItemKind\\"", \\""ItemName\\"", \\""IsLeaf\\""}, {})[\\/ccon]. [\\/ccon];[ccon]The key didn\'t match any rows in the table.[\\/ccon]. The exception was raised by the IDbCommand interface. Table: Catalog - Permission.""}'}, {'attemptId': 4, 'startTime': '2024-03-11T17:32:43.8733327Z', 'endTime': '2024-03-11T17:33:01.2799545Z', 'type': 'Data', 'serviceExceptionJson': '{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""[ValidateMarkupTags][ccon]Expression.Error: The key didn\'t match any rows in the table.. Key = [ccon][entity = \\""Catalog - Permissions\\"", version = \\""\\""][\\/ccon]. Table = [ccon]#table({\\""entity\\"", \\""dataCategory\\"", \\""Data\\"", \\""Tags\\"", \\""entityName\\"", \\""version\\"", \\""ItemKind\\"", \\""ItemName\\"", \\""IsLeaf\\""}, {})[\\/ccon]. [\\/ccon];[ccon]The key didn\'t match any rows in the table.[\\/ccon]. The exception was raised by the IDbCommand interface. Table: Catalog - Permission.""}'}]","{""errorCode"":""ModelRefresh_ShortMessage_ProcessingError"",""errorDescription"":""[ValidateMarkupTags][ccon]Expression.Error: The key didn't match any rows in the table.. Key = [ccon][entity = \""Catalog - Permissions\"", version = \""\""][\/ccon]. Table = [ccon]#table({\""entity\"", \""dataCategory\"", \""Data\"", \""Tags\"", \""entityName\"", \""version\"", \""ItemKind\"", \""ItemName\"", \""IsLeaf\""}, {})[\/ccon]. [\/ccon];[ccon]The key didn't match any rows in the table.[\/ccon]. The exception was raised by the IDbCommand interface. Table: Catalog - Permission.""}"
aa91df01-307a-7e39-38b3-863e875607b9,17153137,OnDemand,2024-04-02T15:23:36.47Z,2024-04-02T15:23:59.55Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-02T15:23:36.5160871Z', 'endTime': '2024-04-02T15:23:56.4723168Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-02T15:23:56.7849386Z', 'endTime': '2024-04-02T15:23:57.3629569Z', 'type': 'Query'}]",
0c2cf6e2-ea13-8ff1-fe12-7d3b77804d3d,16966213,OnDemand,2024-03-28T12:28:48.283Z,2024-03-28T12:29:00.627Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:28:48.3289978Z', 'endTime': '2024-03-28T12:28:59.5010534Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T12:28:59.7822357Z', 'endTime': '2024-03-28T12:29:00.1259903Z', 'type': 'Query'}]",
